id,text,author_username,response_score,response_sentiment,response_tickers,created_at,updated_at
1844343333134663913,"Over 12,000 mentions of ETHBTC in the past 12 months.

Pour one out for the money lost trading this chart. https://t.co/IlJkyuTBF3",_kaitoai,5.0,Negative,"eth, btc",2024-10-10 12:04:34.562431,2024-10-10 12:04:34.562431
1543623209194487809,"Jumped out of a plane with a first date

Absolutely fell in love, just not sure whether it’s with her or skydiving",CryptoDonAlt,5.0,Positive,NaN,2024-10-09 04:06:16.485275,2024-10-09 04:06:16.485275
1803022578728022349,We're married now,CryptoDonAlt,,Neutral,NaN,2024-10-09 04:06:16.485275,2024-10-09 04:06:16.485275
1820155519085985882,If they keep dumping this shit for a couple more days like this they'll get me to unretire a month after I retired wtf,CryptoDonAlt,7.0,Negative,NaN,2024-10-09 04:06:16.485275,2024-10-09 04:06:16.485275
1820380048353792370,"Unironically think coins are quite bad in a recession

So if this develops into a full-blown recession we're all fucked stuck trading heavy bags of made up internet money that no one wants

If not we bounce, just like everything else
I'm no macro guy therefore I don't know",CryptoDonAlt,7.0,Negative,NaN,2024-10-09 04:06:16.485275,2024-10-09 04:06:16.485275
1820375385671954602,"After checking the charts thoroughly this morning I can confidently say that... I have no clue

Good luck friends",CryptoDonAlt,,Neutral,NaN,2024-10-09 04:06:16.485275,2024-10-09 04:06:16.485275
1820369212319072348,"People went from asking for my death to begging me to buy the dip in like one week

This fucking wild I tell ya, lemme fully wake up and check the market properly first",CryptoDonAlt,7.0,Negative,NaN,2024-10-09 04:06:16.485275,2024-10-09 04:06:16.485275
1820359215770165514,Oh wow,CryptoDonAlt,,Neutral,NaN,2024-10-09 04:06:16.485275,2024-10-09 04:06:16.485275
1820121906588357062,"IF this is truly the cycle top (and that's a big IF)

We actually managed to convince institutions to buy our bags at astronomical valuations

Talked about it for years, actually made it happen, would be funny as fuck",CryptoDonAlt,5.0,Neutral,NaN,2024-10-09 04:06:16.485275,2024-10-09 04:06:16.485275
1820120382877077734,"Utterly crazy how BTC is still around $60k while the entire rest of the market has shed most of its bull market returns

Heavy lifting done by the ETF and fanatics like Saylor",CryptoDonAlt,7.0,Neutral,btc,2024-10-09 04:06:16.485275,2024-10-09 04:06:16.485275
